id,región,región1,circuns.,nombre,lista,partido,fuente,fecha,estado,link,link2
39,Los Lagos,10,13,Iván Moreira,Chile Vamos,UDI,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
40,Los Lagos,10,13,Gabriel Ascencio,Unidad Constituyente,DC,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
41,Los Lagos,10,13,Alejandro Bernales,Unidad Constituyente,PL,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
42,Los Lagos,10,13,Fidel Espinoza,Unidad Constituyente,PS,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
43,Magallanes,12,15,Fernando Paredes,Chile Vamos,UDI,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
44,Magallanes,12,15,Carlos Sáez,Unidad Constituyente,DC,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
45,Magallanes,12,15,Karim Bianchi,Unidad Constituyente,DC,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
46,Ñuble,7.5,16,Frank Sauerbaum,Chile Vamos,RN,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
47,Ñuble,7.5,16,Jacqueline v. Rysselberghe,Chile Vamos,UDI,ADN,28-05-2021,1,https://www.adnradio.cl/politica/2021/05/28/jacqueline-van-rysselberghe-senado-anuncio-candidatura-por-region-de-nuble.html,https://www.latribuna.cl/noticias/2021/07/01/ocho-nombres-giran-como-posibles-candidatos-al-senado-por-la-region-del-biobio.html
48,Ñuble,7.5,16,Gustavo Sanhueza,Chile Vamos,UDI,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
49,Ñuble,7.5,16,Jorge Sabag,Unidad Constituyente,DC,La Tercera,26-02-2021,1,https://www.latercera.com/politica/noticia/el-borrador-de-las-senatoriales-2021-candidatos-lanzados-y-partidos-esperando-perdedores-del-11a/2XNRFKQM65AEFBUC35RVCNMV3Y/,
