id,región,distrito,nombre,lista,partido,n_votos,p_votos,,,
75,Metropolitana,12,Amaro Labra,Apruebo Dignidad,PC,6382,1.83,,,
76,Metropolitana,13,Guillermo Teillier,Apruebo Dignidad,PC,28780,11.75,,,
77,Metropolitana,13,Tucapel Jiménez,Unidad Constituyente,PPD,22580,9.21,,,
78,Metropolitana,13,Eduardo Durán,Chile Vamos,RN,19708,8.04,,,
79,Metropolitana,13,Cristián Moreira,Chile Vamos,UDI,18127,7.40,,,
80,Metropolitana,13,Gael Yeomans,Apruebo Dignidad,RD,13686,5.59,,,
81,Metropolitana,14,Raúl Leiva,Unidad Constituyente,PS,44764,14.77,,,
82,Metropolitana,14,Marisela Santibáñez,Unidad Constituyente,PRO,35966,11.87,,,
83,Metropolitana,14,Juan A. Coloma,Chile Vamos,UDI,35717,11.78,,,
84,Metropolitana,14,Nora Cuevas*,Chile Vamos,UDI,31885,10.52,,,
85,Metropolitana,14,Leonardo Soto,Unidad Constituyente,PS,22128,7.30,,,
86,Metropolitana,14,Marcela Sandoval*,Apruebo Dignidad,RD,11593,3.82,,,
87,O' Higgins,15,Javier Macaya,Chile Vamos,UDI,25198,13.98,,,
88,O' Higgins,15,Diego Schalper,Chile Vamos,RN,19305,10.71,,,
89,O' Higgins,15,Juan Luis Castro,Unidad Constituyente,PS,17777,9.86,,,
90,O' Higgins,15,Isaa Kort,Chile Vamos,UDI,16754,9.29,,,
91,O' Higgins,15,Raúl Soto,Unidad Constituyente,DC,9024,5.01,,,
92,O' Higgins,16,Alejandra Sepúlveda,Apruebo Dignidad,FRVS,31685,23.05,,,
93,O' Higgins,16,Ramón Barros,Chile Vamos,UDI,21867,15.91,,,
94,O' Higgins,16,Cosme Mellado,Unidad Constituyente,PR,8864,6.45,,,
95,O' Higgins,16,Virginia Troncoso,Chile Vamos,UDI,7977,5.80,,,
96,Maule,17,Celso Morales,Chile Vamos,UDI,22049,9.03,,,
97,Maule,17,Pedro Alvarez-Salamanca,Chile Vamos,UDI,20521,8.40,,,
98,Maule,17,Hugo Rey,Chile Vamos,RN,20440,8.37,,,
99,Maule,17,Pablo Lorenzini,Unidad Constituyente,DC,19881,8.14,,,
100,Maule,17,Alexis Sepúlveda,Unidad Constituyente,PR,18360,7.52,,,
101,Maule,17,Pablo Prieto,Chile Vamos,RN,14348,5.87,,,
102,Maule,17,Florcita Alarcón,Humanistas,PH,6535,2.68,,,
103,Maule,18,Ignacio Urrutia,Republicanos,UDI,17809,14.76,,,
104,Maule,18,Rolando Rentería,Chile Vamos,UDI,16625,13.78,,,
105,Maule,18,Jaime Naranjo,Unidad Constituyente,PS,13370,11.08,,,
106,Maule,18,Manuel Matta,Unidad Constituyente,DC,12825,10.63,,,
107,Ñuble,19,Jorge Sabag,Unidad Constituyente,DC,28932,14.95,,,
108,Ñuble,19,Frank Sauerbaum,Chile Vamos,RN,18093,9.35,,,
109,Ñuble,19,Gustavo Sanhueza,Chile Vamos,UDI,15636,8.08,,,
110,Ñuble,19,Carlos Abel Jarpa,Unidad Constituyente,PR,15347,7.93,,,
111,Ñuble,19,Patricia Rubio,Unidad Constituyente,PPD,12711,6.57,,,
112,Biobío,20,Gastón Saavedra,Unidad Constituyente,PS,30497,9.05,,,
113,Biobío,20,José Miguel Ortiz,Unidad Constituyente,DC,29441,8.74,,,
114,Biobío,20,Enrique v. Rysselberghe,Chile Vamos,UDI,28788,8.54,,,
115,Biobío,20,Francesca Muñoz,Chile Vamos,RN,23133,6.86,,,
116,Biobío,20,Sergio Bobadilla,Chile Vamos,UDI,18448,5.47,,,
117,Biobío,20,Félix González,Ecologistas,PEV,18377,5.45,,,
118,Biobío,20,Leonidas Romero,Chile Vamos,RN,11378,3.38,,,
119,Biobío,20,Jaime Tohá,Unidad Constituyente,PS,8136,2.41,,,
120,Biobío,21,Iván Norambuena,Chile Vamos,UDI,33198,17.42,,,
121,Biobío,21,José Pérez,Unidad Constituyente,PR,27080,14.21,,,
122,Biobío,21,Cristobal Urruticoechea,Chile Vamos,RN,22159,11.63,,,
123,Biobío,21,Manuel Monsalve,Unidad Constituyente,PS,19626,10.30,,,
124,Biobío,21,Joanna Pérez,Unidad Constituyente,DC,11936,6.26,,,
125,Araucanía,22,Diego Paulsen,Chile Vamos,RN,24317,22.49,,,
126,Araucanía,22,Jorge Rathgeb,Chile Vamos,RN,21491,19.87,,,
127,Araucanía,22,Mario Venegas,Unidad Constituyente,DC,14989,13.86 ,,,
128,Araucanía,22,Andrea Parra,Unidad Constituyente,PPD,10312,9.54,,,
129,Araucanía,23,Rene Saffirio,Independiente,IND,38486,17.15,,,
130,Araucanía,23,Andrés Molina,Chile Vamos,EVO,23887,10.64,,,
131,Araucanía,23,René M. García,Chile Vamos,RN,23064,10.28,,,
132,Araucanía,23,Ricardo Celis,Unidad Constituyente,PPD,16319,7.27,,,
133,Araucanía,23,Miguel Mellado,Chile Vamos,RN,13698,6.10,,,
134,Araucanía,23,Fernando Meza,Unidad Constituyente,PR,13587,6.05,,,
135,Araucanía,23,Sebastían Álvarez,Chile Vamos,EVO,5312,2.37,,,
136,Los Ríos,24,Bernardo Berger,Chile Vamos,RN,24096,17.29,,,
137,Los Ríos,24,Marcos Ilabaca,Unidad Constituyente,PS,15739,11.29,,,
138,Los Ríos,24,Patricio Rosas,Unidad Constituyente,PS,13299,9.54,,,
139,Los Ríos,24,Iván Flores,Unidad Constituyente,DC,13242,9.50,,,
140,Los Ríos,24,Gastón v. Muhlenbrock,Chile Vamos,UDI,12541,9.00,,,
141,Los Lagos,25,Fidel Espinoza,Unidad Constituyente,PS,27997,21.54,,,
142,Los Lagos,25,Harry Jurgensen,Chile Vamos,RN,20489,15.76,,,
143,Los Lagos,25,Javier Hernández,Chile Vamos,UDI,16350,12.58,,,
144,Los Lagos,25,Emilia Nuyado,Unidad Constituyente,PS,8147,6.27,,,
145,Los Lagos,26,Alejandro Santana,Chile Vamos,RN,23556,17.10,,,
146,Los Lagos,26,Carlos Kuschel,Chile Vamos,RN,11259,8.17,,,
147,Los Lagos,26,Jenny Álvarez,Unidad Constituyente,PS,10169,7.38,,,
148,Los Lagos,26,Gabriel Ascencio,Unidad Constituyente,DC,9346,6.78,,,
149,Los Lagos,26,Alejandro Bernales,Unidad Constituyente,PL,6194,4.50,,,
150,Aysén,27,Miguel Calisto,Unidad Constituyente,DC,8728,24.96,,,
151,Aysén,27,Aracely Leuquén,Chile Vamos,RN,3901,11.16,,,
152,Aysén,27,Rene Alinco,Unidad Constituyente,PPD,3095,8.85,,,
153,Magallanes,28,Gabriel Boric,Apruebo Dignidad,PH,18626,32.82,,,
154,Magallanes,28,Sandra Amar,Chile Vamos,UDI,6856,12.08,,,
155,Magallanes,28,Karim Bianchi,Unidad Constituyente,IND,4190,7.38,,,
