id,distrito/pueblo,nombre,oficio,partido,lista,n_votos,p_votos
102,20,Luciano Silva,Teólogo,RN,Vamos por Chile,9281,3.04
103,20,Bastian Labbe,Profesor,IND,Asamblea Popular Constituyente,9597,3.14
104,20,Tammy Pustilnick,Abogada,IND,No Neutrales,10350,3.39
105,20,Andres Cruz,Abogado,PS-IND,Lista del Apruebo,10937,3.58
106,20,Rossana Vidal,Enfermera/Abogada,IND,Lista del Pueblo,11496,3.77
107,20,Rocio Cantuarias,Abogada,EVO-IND,Vamos por Chile,16957,5.56
108,20,Amaya Alvez,Abogada ,RD,Apruebo Dignidad,18459,6.05
109,21,Javier Fuchslocher,Profesor,IND,No Neutrales,5946,3.53
110,21,Luis Barcelo,Abogado,PPD-IND,Lista del Apruebo,7581,4.5
111,21,Paulina Veloso,Lic. Derecho,RN,Vamos por Chile,8547,5.07
112,21,Vanessa Hoppe,Abogada,PC-IND,Apruebo Dignidad,11131,6.6
113,22,Ruth Hurtado,Estudiante,RN-IND,Vamos por Chile,2013,2.53
114,22,Eduardo Cretton,Lic. Derecho,UDI,Vamos por Chile,7925,9.96
115,22,Fuad Chahin,Abogado,DC ,Lista del Apruebo,11413,14.34
116,23,Angelica Tepper,Empresaria,RN-IND,Vamos por Chile,4899,3.02
117,23,Lorena Cespedes,Profesora,IND,No Neutrales,5548,3.42
118,23,Eduardo Castillo,Abogado,PPD ,Lista del Apruebo,5714,3.52
119,23,Helmuth Martinez,Abogado,IND,Lista del Pueblo,7229,4.46
120,23,Manuela Royo,Abogada,PI-IND,Apruebo Dignidad,8613,5.31
121,23,Luis Mayol,Abogado,RN,Vamos por Chile,15442,9.52
122,24,Aurora Delgado,Matrona,RD-IND,Apruebo Dignidad,4837,4.24
123,24,Felipe Mena,Ingeniero,UDI,Vamos por Chile,6209,5.44
124,24,Pedro Muñoz,Abogado ,PS ,Lista del Apruebo,11204,9.81
125,24,Ramona Reyes,Matrona,PS ,Lista del Apruebo,12087,10.58
126,25,Maria Ubilla,Abogada,UDI-IND,Vamos por Chile,4264,4.24
127,25,Mario Vargas,Profesor,PS ,Lista del Apruebo,5828,5.8
128,25,Harry Jurgensen,Contador,RN,Vamos por Chile,19464,19.35
129,26,Katerine Montealegre,Abogado ,UDI,Vamos por Chile,5045,3.84
130,26,Gaspar Dominguez,Médico,IND,No Neutrales,6398,4.87
131,26,Adriana Ampuero,Egresada Derecho,IND,Insulares e Independientes,10734,8.17
132,26,Julio Alvarez,Abogado,PS ,Lista del Apruebo,13822,10.53
133,27,Yarela Gomez,Profesora,RD-IND,Apruebo Dignidad,2255,6.89
134,27,Geoconda Navarrete,Asistente Social,EVO,Vamos por Chile,3404,10.41
135,27,Tomas Laibe,Cientista Político,PS ,Lista del Apruebo,4291,13.12
136,28,Rodrigo Alvarez,Abogado,UDI,Vamos por Chile,4197,7.71
137,28,Elisa Giustinianovich,Bioingeniera,IND,Coord. Social de Magallanes,4256,7.82
138,28,Mauricio Daza,Abogado ,IND,Regionalismo Ciudadano Ind.,6194,11.38
139,Aimara,Luis Jimenez,Abogado,,,2318,12.05
140,Aimara,Isabella Mamani,Abogada,,,2414,15.55
141,Atacameño,Felix Galleguillos,Ing. Civil,,,1402,20.7
142,Chango,Fernando Tirado,Buzo,,,395,43.41
143,Colla,Isabel Godoy,Dirigente,,,631,29.51
144,Diaguita,Eric Chinga,Abogada,,,3663,32.59
145,Kawesqar,Margarita Vargas,Ing. Adm. Pública,,,95,38.15
146,Mapuche,Alexis Caiguan,Músico,,,6294,2.89
147,Mapuche,Victorino Antilef,Profesor,,,7494,3.44
148,Mapuche,Rosa Catrileo,Abogada,,,10448,4.8
149,Mapuche,Elisa Loncon,Profesora,,,11714,5.38
150,Mapuche,Adolfo Millabur,Agricultor,,,12288,5.64
151,Mapuche,Natividad Llanquileo,Abogada,,,13124,6.02
152,Mapuche,Francisca Linconao,Ambientalista,,,15621,7.17
153,Quechua,Wilfredo Bacian,Gestor Cultural,,,632,30.44
154,Rapa Nui,Tiare Aguilera,Abogada,,,749,40.03
155,Yagan,Lidia Gonzalez,Dueña de Casa,,,61,100
